datum,vizszint,kut_nev,torzsszam
2024-12-06,6.17,Sátorhely,4576
2024-12-06,6.16,Sátorhely,4576
2024-12-06,6.16,Sátorhely,4576
2024-12-06,6.16,Sátorhely,4576
2024-12-07,6.16,Sátorhely,4576
2024-12-07,6.17,Sátorhely,4576
2024-12-07,6.17,Sátorhely,4576
2024-12-07,6.16,Sátorhely,4576
2024-12-07,6.16,Sátorhely,4576
2024-12-07,6.16,Sátorhely,4576
2024-12-08,6.15,Sátorhely,4576
2024-12-08,6.15,Sátorhely,4576
2024-12-08,6.15,Sátorhely,4576
2024-12-08,6.15,Sátorhely,4576
2024-12-08,6.15,Sátorhely,4576
2024-12-08,6.15,Sátorhely,4576
2024-12-09,6.16,Sátorhely,4576
2024-12-09,6.16,Sátorhely,4576
2024-12-09,6.16,Sátorhely,4576
2024-12-09,6.16,Sátorhely,4576
2024-12-09,6.17,Sátorhely,4576
2024-12-09,6.17,Sátorhely,4576
2024-12-10,6.18,Sátorhely,4576
2024-12-10,6.18,Sátorhely,4576
2024-12-10,6.18,Sátorhely,4576
2024-12-10,6.18,Sátorhely,4576
2024-12-10,6.18,Sátorhely,4576
2024-12-10,6.18,Sátorhely,4576
2024-12-11,6.18,Sátorhely,4576
2024-12-11,6.18,Sátorhely,4576
2024-12-11,6.18,Sátorhely,4576
2024-12-11,6.18,Sátorhely,4576
2024-12-11,6.18,Sátorhely,4576
2024-12-11,6.19,Sátorhely,4576
2024-12-12,6.19,Sátorhely,4576
2024-12-12,6.19,Sátorhely,4576
2024-12-12,6.19,Sátorhely,4576
2024-12-12,6.19,Sátorhely,4576
2024-12-12,6.19,Sátorhely,4576
2024-12-12,6.19,Sátorhely,4576
2024-12-13,6.19,Sátorhely,4576
2024-12-13,6.19,Sátorhely,4576
2024-12-13,6.19,Sátorhely,4576
2024-12-13,6.19,Sátorhely,4576
2024-12-13,6.19,Sátorhely,4576
2024-12-13,6.19,Sátorhely,4576
2024-12-14,6.19,Sátorhely,4576
2024-12-14,6.18,Sátorhely,4576
2024-12-14,6.18,Sátorhely,4576
2024-12-14,6.17,Sátorhely,4576
2024-12-14,6.17,Sátorhely,4576
2024-12-14,6.16,Sátorhely,4576
2024-12-15,6.16,Sátorhely,4576
2024-12-15,6.16,Sátorhely,4576
2024-12-15,6.16,Sátorhely,4576
2024-12-15,6.17,Sátorhely,4576
2024-12-15,6.17,Sátorhely,4576
2024-12-15,6.17,Sátorhely,4576
2024-12-16,6.17,Sátorhely,4576
2024-12-16,6.17,Sátorhely,4576
2024-12-16,6.18,Sátorhely,4576
2024-12-16,6.18,Sátorhely,4576
2024-12-16,6.18,Sátorhely,4576
2024-12-16,6.18,Sátorhely,4576
2024-12-17,6.17,Sátorhely,4576
2024-12-17,6.17,Sátorhely,4576
2024-12-17,6.17,Sátorhely,4576
2024-12-17,6.17,Sátorhely,4576
2024-12-17,6.17,Sátorhely,4576
2024-12-17,6.17,Sátorhely,4576
2024-12-18,6.17,Sátorhely,4576
2024-12-18,6.17,Sátorhely,4576
2024-12-18,6.17,Sátorhely,4576
2024-12-18,6.17,Sátorhely,4576
2024-12-18,6.17,Sátorhely,4576
2024-12-18,6.17,Sátorhely,4576
2024-12-19,6.16,Sátorhely,4576
2024-12-19,6.16,Sátorhely,4576
2024-12-19,6.16,Sátorhely,4576
2024-12-19,6.15,Sátorhely,4576
2024-12-19,6.15,Sátorhely,4576
2024-12-19,6.14,Sátorhely,4576
2024-12-20,6.14,Sátorhely,4576
2024-12-20,6.14,Sátorhely,4576
2024-12-20,6.14,Sátorhely,4576
2024-12-20,6.14,Sátorhely,4576
2024-12-20,6.15,Sátorhely,4576
2024-12-20,6.15,Sátorhely,4576
2024-12-21,6.15,Sátorhely,4576
2024-12-21,6.15,Sátorhely,4576
2024-12-21,6.16,Sátorhely,4576
2024-12-21,6.16,Sátorhely,4576
2024-12-21,6.16,Sátorhely,4576
2024-12-21,6.16,Sátorhely,4576
2024-12-22,6.15,Sátorhely,4576
2024-12-22,6.15,Sátorhely,4576
2024-12-22,6.14,Sátorhely,4576
2024-12-22,6.14,Sátorhely,4576
2024-12-22,6.13,Sátorhely,4576
2024-12-22,6.13,Sátorhely,4576
2024-12-23,6.13,Sátorhely,4576
2024-12-23,6.13,Sátorhely,4576
2024-12-23,6.12,Sátorhely,4576
2024-12-23,6.12,Sátorhely,4576
2024-12-23,6.12,Sátorhely,4576
2024-12-23,6.12,Sátorhely,4576
2024-12-24,6.12,Sátorhely,4576
2024-12-24,6.11,Sátorhely,4576
2024-12-24,6.11,Sátorhely,4576
2024-12-24,6.1,Sátorhely,4576
2024-12-24,6.1,Sátorhely,4576
2024-12-24,6.11,Sátorhely,4576
2024-12-25,6.11,Sátorhely,4576
2024-12-25,6.11,Sátorhely,4576
2024-12-25,6.11,Sátorhely,4576
2024-12-25,6.11,Sátorhely,4576
2024-12-25,6.11,Sátorhely,4576
2024-12-25,6.11,Sátorhely,4576
2024-12-26,6.11,Sátorhely,4576
2024-12-26,6.11,Sátorhely,4576
2024-12-26,6.12,Sátorhely,4576
2024-12-26,6.12,Sátorhely,4576
2024-12-26,6.12,Sátorhely,4576
2024-12-26,6.12,Sátorhely,4576
2024-12-27,6.12,Sátorhely,4576
2024-12-27,6.12,Sátorhely,4576
2024-12-27,6.12,Sátorhely,4576
2024-12-27,6.11,Sátorhely,4576
2024-12-27,6.11,Sátorhely,4576
2024-12-27,6.11,Sátorhely,4576
2024-12-28,6.11,Sátorhely,4576
2024-12-28,6.1,Sátorhely,4576
2024-12-28,6.1,Sátorhely,4576
2024-12-28,6.1,Sátorhely,4576
2024-12-28,6.1,Sátorhely,4576
2024-12-28,6.1,Sátorhely,4576
2024-12-29,6.1,Sátorhely,4576
2024-12-29,6.1,Sátorhely,4576
2024-12-29,6.1,Sátorhely,4576
2024-12-29,6.1,Sátorhely,4576
2024-12-29,6.1,Sátorhely,4576
2024-12-29,6.1,Sátorhely,4576
2024-12-30,6.1,Sátorhely,4576
2024-12-30,6.1,Sátorhely,4576
2024-12-30,6.1,Sátorhely,4576
2024-12-30,6.1,Sátorhely,4576
2024-12-30,6.09,Sátorhely,4576
2024-12-30,6.09,Sátorhely,4576
2024-12-31,6.09,Sátorhely,4576
2024-12-31,6.09,Sátorhely,4576
2024-12-31,6.09,Sátorhely,4576
2024-12-31,6.09,Sátorhely,4576
2024-12-31,6.09,Sátorhely,4576
2024-12-31,6.09,Sátorhely,4576
2025-01-01,6.09,Sátorhely,4576
2025-01-01,6.08,Sátorhely,4576
2025-01-01,6.08,Sátorhely,4576
2025-01-01,6.08,Sátorhely,4576
2025-01-01,6.07,Sátorhely,4576
